old,new,id
Sindechites_henryi_PAFTOL031695,apocynoids_Apocyneae_Amphineuriinae_Sindechites_henryi_PAFTOL031695,277
Apocynum_venetum_PAFTOL004112,apocynoids_Apocyneae_Apocyninae_Apocynum_venetum_PAFTOL004112,21
Vallaris_solanacea_PAFTOL004042,apocynoids_Apocyneae_Beaumontiinae_Vallaris_solanacea_PAFTOL004042,317
Amalocalyx_microlobus_PAFTOL031697,apocynoids_Apocyneae_Chonemorphinae_Amalocalyx_microlobus_PAFTOL031697,10
Chonemorpha_fragrans_PAFTOL031730,apocynoids_Apocyneae_Chonemorphinae_Chonemorpha_fragrans_PAFTOL031730,60
Micrechites_rhombifolius_PAFTOL031717,apocynoids_Apocyneae_Chonemorphinae_Micrechites_rhombifolius_PAFTOL031717,169
Aganosma_heynei_PAFTOL031726,apocynoids_Apocyneae_Ichnocarpinae_Aganosma_heynei_PAFTOL031726,4
Baharuia_gracilis_PAFTOL031816,apocynoids_Apocyneae_Ichnocarpinae_Baharuia_gracilis_PAFTOL031816,31
Epigynum_auritum_PAFTOL031703,apocynoids_Apocyneae_Ichnocarpinae_Epigynum_auritum_PAFTOL031703,104
Pottsia_laxiflora_PAFTOL031715,apocynoids_Apocyneae_Ichnocarpinae_Pottsia_laxiflora_PAFTOL031715,243
Anodendron_affine_PAFTOL031727,apocynoids_Apocyneae_Papuechitinae_Anodendron_affine_PAFTOL031727,19
Papuechites_aambe_PAFTOL025337,apocynoids_Apocyneae_Papuechitinae_Papuechites_aambe_PAFTOL025337,216
Baissea_sp_PAFTOL004097,apocynoids_Baisseeae_nosubtribe_Baissea_sp_PAFTOL004097,32
Dewevrella_cochliostema_PAFTOL031758,apocynoids_Baisseeae_nosubtribe_Dewevrella_cochliostema_PAFTOL031758,82
Motandra_paniculata_PAFTOL025239,apocynoids_Baisseeae_nosubtribe_Motandra_paniculata_PAFTOL025239,193
Oncinotis_tenuiloba_PAFTOL031812,apocynoids_Baisseeae_nosubtribe_Oncinotis_tenuiloba_PAFTOL031812,203
